MatchID,RecTeam_Score,PullTeam_Score,RecTeam_Win_Prob,PullTeam_Win_Prob,RecTeam_Avg_Score,PullTeam_Avg_Score,RecTeam_RecToStartGame,firstHalf,Time_StartofSim,Time_UntilCap,CapOn,SimulationCount,OLE_Rate
4-5-85-0,4,5,0.431364,0.568636,13.65026,14.214344,0,0,0,85,No,"250,000",0.7
5-5-85-0,5,5,0.582664,0.417336,14.31294,13.642332,0,0,0,85,No,"250,000",0.7
6-5-85-0,6,5,0.731372,0.268628,14.749688,12.853336,0,0,0,85,No,"250,000",0.7
7-5-85-0,7,5,0.848008,0.151992,14.966504,11.931364,0,0,0,85,No,"250,000",0.7
0-6-85-0,0,6,0.03628,0.96372,9.00482,14.975928,0,0,0,85,No,"250,000",0.7
1-6-85-0,1,6,0.064892,0.935108,10.005868,14.967728,0,0,0,85,No,"250,000",0.7
2-6-85-0,2,6,0.111336,0.888664,11.010444,14.941964,0,0,0,85,No,"250,000",0.7
3-6-85-0,3,6,0.18312,0.81688,11.997512,14.870056,0,0,0,85,No,"250,000",0.7
4-6-85-0,4,6,0.286364,0.713636,12.928496,14.692464,0,0,0,85,No,"250,000",0.7
5-6-85-0,5,6,0.42262,0.57738,13.744892,14.344764,0,0,0,85,No,"250,000",0.7
